SHC_filename;play_name;character;word_count
A16927;The Sparagus Garden;A16927-trampler.txt;428
A16927;The Sparagus Garden;A16927-unassigned.txt;137
A16927;The Sparagus Garden;A16927-walter.txt;284
A16927;The Sparagus Garden;A16927-wat.txt;657
A16927;The Sparagus Garden;A16927-wife.txt;119
A16927;The Sparagus Garden;A16927-woman.txt;10
A16927;The Sparagus Garden;A16927-xxxx_1.txt;61
A29634;The Court Beggar;A29634-1.txt;535
A29634;The Court Beggar;A29634-2.txt;153
A29634;The Court Beggar;A29634-3.txt;46
A29634;The Court Beggar;A29634-boy.txt;270
A29634;The Court Beggar;A29634-charissa.txt;1025
A29634;The Court Beggar;A29634-citwit.txt;3037
A29634;The Court Beggar;A29634-courtwit.txt;1460
A29634;The Court Beggar;A29634-dainty.txt;801
A29634;The Court Beggar;A29634-doctor.txt;810
A29634;The Court Beggar;A29634-ferdinand.txt;1860
A29634;The Court Beggar;A29634-frederick.txt;1711
A29634;The Court Beggar;A29634-gabriel.txt;1921
A29634;The Court Beggar;A29634-mendicant.txt;2633
A29634;The Court Beggar;A29634-multiple.txt;31
A29634;The Court Beggar;A29634-philomel.txt;1419
A29634;The Court Beggar;A29634-projector.txt;128
A29634;The Court Beggar;A29634-projector_1.txt;511
A29634;The Court Beggar;A29634-projector_2.txt;52
A29634;The Court Beggar;A29634-projector_3.txt;37
A29634;The Court Beggar;A29634-raphael.txt;1863
A29634;The Court Beggar;A29634-servant.txt;107
A29634;The Court Beggar;A29634-strangelove.txt;3762
A29634;The Court Beggar;A29634-swainwit.txt;3501
A29634;The Court Beggar;A29634-unassigned.txt;10
A29635;The Damoiselle;A29635-alice.txt;893
A29635;The Damoiselle;A29635-all.txt;7
A29635;The Damoiselle;A29635-ambrose.txt;642
A29635;The Damoiselle;A29635-amphilus.txt;1878
A29635;The Damoiselle;A29635-attorney.txt;110
A29635;The Damoiselle;A29635-brookeall.txt;2615
A29635;The Damoiselle;A29635-bumpsey.txt;2909
A29635;The Damoiselle;A29635-dryground.txt;2913
A29635;The Damoiselle;A29635-eleanor.txt;15
A29635;The Damoiselle;A29635-frances.txt;1222
A29635;The Damoiselle;A29635-friendly.txt;190
A29635;The Damoiselle;A29635-jane.txt;402
A29635;The Damoiselle;A29635-magdalen.txt;1376
A29635;The Damoiselle;A29635-oliver.txt;1751
A29635;The Damoiselle;A29635-phillis.txt;2025
A29635;The Damoiselle;A29635-rabble.txt;64
A29635;The Damoiselle;A29635-servant.txt;179
A29635;The Damoiselle;A29635-trebasco.txt;538
A29635;The Damoiselle;A29635-unassigned.txt;15
A29635;The Damoiselle;A29635-valentine.txt;2898
A29635;The Damoiselle;A29635-vermin.txt;2052
A29635;The Damoiselle;A29635-wat.txt;2729
A29637;A Jovial Crew;A29637-1.txt;269
A29637;A Jovial Crew;A29637-2.txt;246
A29637;A Jovial Crew;A29637-3.txt;8
A29637;A Jovial Crew;A29637-4.txt;9
A29637;A Jovial Crew;A29637-all.txt;116
A29637;A Jovial Crew;A29637-all_beggars.txt;16
A29637;A Jovial Crew;A29637-amie.txt;825
A29637;A Jovial Crew;A29637-beggar_1.txt;460
A29637;A Jovial Crew;A29637-beggar_2.txt;286
A29637;A Jovial Crew;A29637-beggar_3.txt;123
A29637;A Jovial Crew;A29637-beggar_4.txt;134
A29637;A Jovial Crew;A29637-bridge.txt;23
A29637;A Jovial Crew;A29637-butler.txt;381
A29637;A Jovial Crew;A29637-chaplain.txt;38
A29637;A Jovial Crew;A29637-clack.txt;1685
A29637;A Jovial Crew;A29637-constable.txt;43
A29637;A Jovial Crew;A29637-cook.txt;141
A29637;A Jovial Crew;A29637-groom.txt;15
A29637;A Jovial Crew;A29637-hearty.txt;2486
A29637;A Jovial Crew;A29637-hilliard.txt;1199
A29637;A Jovial Crew;A29637-lawyer.txt;84
A29637;A Jovial Crew;A29637-martin.txt;562
A29637;A Jovial Crew;A29637-meriel.txt;1337
A29637;A Jovial Crew;A29637-multiple.txt;85
A29637;A Jovial Crew;A29637-oldrents.txt;3290
A29637;A Jovial Crew;A29637-oliver.txt;2349
A29637;A Jovial Crew;A29637-patrico.txt;1111
A29637;A Jovial Crew;A29637-poet.txt;265
A29637;A Jovial Crew;A29637-rachel.txt;1755
A29637;A Jovial Crew;A29637-randall.txt;2605
A29637;A Jovial Crew;A29637-sentwell.txt;882
A29637;A Jovial Crew;A29637-solder.txt;120
A29637;A Jovial Crew;A29637-springlove.txt;4432
A29637;A Jovial Crew;A29637-tallboy.txt;1138
A29637;A Jovial Crew;A29637-unassigned.txt;13
A29637;A Jovial Crew;A29637-usher.txt;157
A29637;A Jovial Crew;A29637-vincent.txt;1802
A29637;A Jovial Crew;A29637-within.txt;15
A29644;The Queen’s Exchange;A29644-1.txt;287
A29644;The Queen’s Exchange;A29644-2.txt;240
A29644;The Queen’s Exchange;A29644-3.txt;99
A29644;The Queen’s Exchange;A29644-4.txt;61
